               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.040555,             0.01942,          0.00082615,             0.80936,             0.76835,             0.80983,             0.51008,            0.042803,            0.017503,           0.0016912,             0.00901,             0.00901,             0.00901
                 102,            0.040385,            0.019292,          0.00098108,              0.8034,             0.76578,             0.80686,             0.51721,            0.042034,            0.017422,           0.0014526,           0.0090001,           0.0090001,           0.0090001
                 103,            0.039673,            0.018946,          0.00084901,             0.80781,             0.75273,             0.80716,             0.51243,            0.042341,            0.017741,           0.0016659,           0.0089902,           0.0089902,           0.0089902
                 104,            0.040188,            0.019429,          0.00091232,             0.73106,             0.77472,             0.78057,             0.49158,            0.041772,            0.017971,           0.0017314,           0.0089803,           0.0089803,           0.0089803
                 105,            0.040165,            0.019172,          0.00081879,             0.79611,             0.77506,              0.7991,             0.49837,             0.04153,            0.017752,           0.0015906,           0.0089704,           0.0089704,           0.0089704
                 106,            0.040198,            0.019542,           0.0010272,             0.77271,             0.76525,             0.79457,             0.50197,            0.041984,            0.017883,           0.0020281,           0.0089605,           0.0089605,           0.0089605
                 107,            0.040249,            0.019354,          0.00085441,             0.79839,             0.76579,             0.79782,             0.50358,             0.04246,            0.017795,           0.0017009,           0.0089506,           0.0089506,           0.0089506
                 108,            0.040545,            0.019566,          0.00093101,             0.81872,             0.76911,             0.80526,             0.49061,            0.042125,            0.017799,           0.0016337,           0.0089407,           0.0089407,           0.0089407
                 109,            0.039967,            0.019429,           0.0011781,             0.80292,             0.76536,             0.80391,              0.5063,            0.041826,            0.017841,           0.0015627,           0.0089308,           0.0089308,           0.0089308
                 110,            0.040202,            0.019395,          0.00094103,             0.78285,             0.75699,              0.7925,             0.51444,            0.041865,            0.017631,           0.0016547,           0.0089209,           0.0089209,           0.0089209
                 111,            0.039884,             0.01914,          0.00088957,             0.81492,             0.77317,             0.80156,             0.50896,            0.041466,            0.017553,           0.0017681,            0.008911,            0.008911,            0.008911
                 112,            0.040246,            0.019399,           0.0010398,             0.82085,             0.76225,             0.79615,             0.49063,            0.042253,            0.017656,           0.0017175,           0.0089011,           0.0089011,           0.0089011
                 113,            0.040022,             0.01865,          0.00080285,             0.78651,             0.77193,             0.79219,             0.48467,            0.041968,            0.017527,           0.0017443,           0.0088912,           0.0088912,           0.0088912
                 114,             0.04006,             0.01874,           0.0010244,             0.79586,              0.7731,             0.79373,             0.50436,            0.042281,            0.017829,           0.0016326,           0.0088813,           0.0088813,           0.0088813
                 115,            0.039983,            0.018961,          0.00083233,             0.81752,              0.7916,             0.80377,             0.51181,            0.041716,            0.017684,           0.0016024,           0.0088714,           0.0088714,           0.0088714
                 116,            0.040267,            0.019168,          0.00091463,             0.80147,              0.7916,             0.81335,             0.51667,            0.041897,            0.017561,            0.001449,           0.0088615,           0.0088615,           0.0088615
                 117,             0.03999,            0.019096,          0.00086591,             0.77216,             0.76246,             0.80167,             0.51013,            0.041395,            0.017549,           0.0018886,           0.0088516,           0.0088516,           0.0088516
                 118,            0.039977,            0.019483,          0.00088764,             0.80504,             0.76972,             0.80307,             0.51506,            0.041914,            0.017674,           0.0017465,           0.0088417,           0.0088417,           0.0088417
                 119,            0.039875,            0.019141,          0.00078532,             0.79921,             0.73793,             0.77813,             0.47828,            0.042528,            0.017936,           0.0017646,           0.0088318,           0.0088318,           0.0088318
                 120,            0.039648,            0.018729,          0.00084283,             0.83061,             0.75167,              0.8047,              0.5011,            0.041468,            0.017435,           0.0017067,           0.0088219,           0.0088219,           0.0088219
                 121,            0.040362,            0.019477,          0.00091246,              0.8225,             0.76157,             0.80465,             0.50317,             0.04129,            0.017664,           0.0018908,            0.008812,            0.008812,            0.008812
                 122,            0.039452,            0.018723,          0.00083138,             0.79593,             0.77987,              0.8095,             0.50283,            0.041274,            0.017604,             0.00181,           0.0088021,           0.0088021,           0.0088021
                 123,            0.039562,            0.019108,          0.00072084,             0.79542,             0.76098,              0.7876,             0.49836,            0.041589,             0.01756,           0.0019197,           0.0087922,           0.0087922,           0.0087922
                 124,             0.04026,            0.019275,          0.00091238,             0.82361,             0.76928,             0.81755,             0.50401,            0.041796,             0.01775,            0.001972,           0.0087823,           0.0087823,           0.0087823
                 125,            0.039802,            0.019022,          0.00066472,             0.78625,             0.75941,             0.79937,             0.51811,            0.041419,            0.017428,           0.0016085,           0.0087724,           0.0087724,           0.0087724
                 126,            0.039582,            0.018734,          0.00089725,             0.85038,             0.75632,             0.81144,             0.52028,            0.041563,            0.017626,           0.0016111,           0.0087625,           0.0087625,           0.0087625
                 127,            0.040129,            0.019228,          0.00089208,             0.81911,             0.76391,             0.79804,             0.50534,            0.041315,            0.017338,           0.0018077,           0.0087526,           0.0087526,           0.0087526
                 128,            0.039394,            0.019063,          0.00074713,             0.81765,             0.77927,             0.80215,              0.5179,            0.041971,            0.017463,           0.0018523,           0.0087427,           0.0087427,           0.0087427
                 129,             0.03928,            0.018907,          0.00078761,             0.81063,             0.78741,             0.80869,             0.49884,             0.04183,             0.01747,           0.0020312,           0.0087328,           0.0087328,           0.0087328
                 130,            0.039448,             0.01884,          0.00083144,             0.81451,             0.78037,             0.81798,             0.51698,            0.041386,            0.017434,           0.0014387,           0.0087229,           0.0087229,           0.0087229
                 131,            0.038885,            0.018835,          0.00079421,             0.78735,             0.78838,             0.79752,             0.50828,            0.040956,            0.017368,           0.0019949,            0.008713,            0.008713,            0.008713
                 132,            0.039535,            0.018595,           0.0010726,             0.80834,             0.77215,             0.81067,              0.5201,             0.04134,            0.017502,           0.0015679,           0.0087031,           0.0087031,           0.0087031
                 133,            0.039071,            0.019372,           0.0007563,             0.82355,             0.76584,             0.80744,             0.50191,            0.041425,            0.017362,           0.0015417,           0.0086932,           0.0086932,           0.0086932
                 134,            0.039205,            0.018727,          0.00086107,             0.80571,             0.80298,             0.81665,             0.51904,            0.041052,            0.017186,           0.0017876,           0.0086833,           0.0086833,           0.0086833
                 135,            0.039213,            0.018741,          0.00071687,             0.82435,             0.77593,             0.80672,             0.50648,             0.04138,            0.017253,           0.0016965,           0.0086734,           0.0086734,           0.0086734
                 136,            0.039087,            0.018787,          0.00064281,             0.79089,              0.7682,             0.79932,             0.50885,            0.041318,            0.017299,           0.0018624,           0.0086635,           0.0086635,           0.0086635
                 137,            0.038869,            0.018623,          0.00074256,             0.79956,             0.75988,             0.80888,             0.51555,            0.041658,            0.017317,           0.0018648,           0.0086536,           0.0086536,           0.0086536
                 138,            0.038995,            0.019143,          0.00080811,             0.83039,             0.78025,             0.81286,               0.523,            0.041436,            0.017291,            0.001661,           0.0086437,           0.0086437,           0.0086437
                 139,            0.039067,            0.018719,          0.00090472,             0.81345,             0.76538,             0.81003,             0.51997,            0.041039,            0.017193,           0.0017221,           0.0086338,           0.0086338,           0.0086338
                 140,             0.03887,            0.018466,          0.00083931,             0.81044,             0.78697,              0.8151,             0.52388,            0.041666,            0.017387,            0.001812,           0.0086239,           0.0086239,           0.0086239
                 141,            0.039257,            0.019089,          0.00069411,             0.82074,             0.78031,             0.81184,             0.52029,            0.041092,            0.017472,           0.0014458,            0.008614,            0.008614,            0.008614
                 142,            0.038823,            0.019291,          0.00080747,             0.79293,               0.785,             0.80772,             0.52434,            0.041311,            0.017298,           0.0019156,           0.0086041,           0.0086041,           0.0086041
                 143,            0.038793,            0.018228,          0.00072744,             0.80924,             0.78423,             0.81006,             0.52834,            0.041115,            0.017345,           0.0014077,           0.0085942,           0.0085942,           0.0085942
                 144,            0.038559,            0.018313,          0.00082043,             0.81706,             0.75758,             0.80468,              0.5118,            0.041473,            0.017378,           0.0016755,           0.0085843,           0.0085843,           0.0085843
                 145,            0.039391,            0.019316,          0.00074498,             0.81246,             0.77559,             0.80774,             0.50304,            0.041737,            0.017251,           0.0018566,           0.0085744,           0.0085744,           0.0085744
                 146,            0.039032,            0.018622,          0.00085452,             0.80846,             0.79118,             0.81288,             0.52142,             0.04134,            0.017268,            0.001631,           0.0085645,           0.0085645,           0.0085645
                 147,             0.03884,              0.0191,          0.00068601,             0.80429,             0.78073,             0.80999,             0.52577,            0.040803,            0.017247,           0.0014451,           0.0085546,           0.0085546,           0.0085546
                 148,             0.03842,            0.018715,            0.000767,             0.79949,             0.78307,             0.80873,             0.51562,            0.041101,            0.017241,           0.0016267,           0.0085447,           0.0085447,           0.0085447
